file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",eachRow,5
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",columnIndex,4
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",columnExtend,5
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[int,int]",eachRow,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[int,int]",columnIndex,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[com.alibaba.excel.metadata.property.LoopMergeProperty,java.lang.Integer]",columnIndex,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,afterRowDispose/1[com.alibaba.excel.write.handler.context.RowWriteHandlerContext],eachRow,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,afterRowDispose/1[com.alibaba.excel.write.handler.context.RowWriteHandlerContext],columnIndex,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,afterRowDispose/1[com.alibaba.excel.write.handler.context.RowWriteHandlerContext],columnExtend,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",excelContentProperty,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",rowIndex,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",columnIndex,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/5[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String]",cellData,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",excelContentProperty,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",rowIndex,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",columnIndex,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\exception\ExcelDataConvertException.java,com.alibaba.excel.exception.ExcelDataConvertException,"ExcelDataConvertException/6[java.lang.Integer,java.lang.Integer,com.alibaba.excel.metadata.data.CellData<?>,com.alibaba.excel.metadata.property.ExcelContentProperty,java.lang.String,java.lang.Throwable]",cellData,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"parseObject/2[java.lang.String,java.text.ParsePosition]",df,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,ConstantStringFormat/1[java.lang.String],str,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\temp\dataformat\DataFormatter1.java,com.alibaba.easyexcel.test.temp.dataformat.DataFormatter1$ConstantStringFormat,"format/3[java.lang.Object,java.lang.StringBuffer,java.text.FieldPosition]",str,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,setColumnExtend/1[int],columnExtend,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,getColumnExtend/0,columnExtend,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,build/1[com.alibaba.excel.annotation.write.style.ContentLoopMerge],eachRow,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,build/1[com.alibaba.excel.annotation.write.style.ContentLoopMerge],columnExtend,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,getEachRow/0,eachRow,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,setEachRow/1[int],eachRow,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,"LoopMergeProperty/2[int,int]",eachRow,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\metadata\property\LoopMergeProperty.java,com.alibaba.excel.metadata.property.LoopMergeProperty,"LoopMergeProperty/2[int,int]",columnExtend,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\demo\read\CellDataDemoHeadDataListener.java,com.alibaba.easyexcel.test.demo.read.CellDataDemoHeadDataListener,saveData/0,cachedDataList,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\demo\read\CellDataDemoHeadDataListener.java,com.alibaba.easyexcel.test.demo.read.CellDataDemoHeadDataListener,"invoke/2[com.alibaba.easyexcel.test.demo.read.CellDataReadDemoData,com.alibaba.easyexcel.test.demo.read.AnalysisContext]",BATCH_COUNT,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\demo\read\CellDataDemoHeadDataListener.java,com.alibaba.easyexcel.test.demo.read.CellDataDemoHeadDataListener,"invoke/2[com.alibaba.easyexcel.test.demo.read.CellDataReadDemoData,com.alibaba.easyexcel.test.demo.read.AnalysisContext]",cachedDataList,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,t03Read07All/0,file07,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,t04Read03All/0,file03,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,init/0,file03,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,init/0,file07,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,t01Read07/0,file07,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-test\src\test\java\com\alibaba\easyexcel\test\core\multiplesheets\MultipleSheetsDataTest.java,com.alibaba.easyexcel.test.core.multiplesheets.MultipleSheetsDataTest,t02Read03/0,file03,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\ExcelReader.java,com.alibaba.excel.ExcelReader,ExcelReader/1[com.alibaba.excel.read.metadata.ReadWorkbook],excelAnalyser,1
