file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\handlers\BoundSheetRecordHandler.java,com.alibaba.excel.analysis.v03.handlers.BoundSheetRecordHandler,"processRecord/2[com.alibaba.excel.context.xls.XlsReadContext,java.lang.Record]",bsr,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\handlers\BoundSheetRecordHandler.java,com.alibaba.excel.analysis.v03.handlers.BoundSheetRecordHandler,"processRecord/2[com.alibaba.excel.context.xls.XlsReadContext,java.lang.Record]",xlsReadContext,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\analysis\v03\handlers\BoundSheetRecordHandler.java,com.alibaba.excel.analysis.v03.handlers.BoundSheetRecordHandler,"processRecord/2[com.alibaba.excel.context.xls.XlsReadContext,java.lang.Record]",record,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",eachRow,4
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",columnIndex,3
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/3[int,int,int]",columnExtend,4
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[int,int]",eachRow,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[int,int]",columnIndex,1
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[com.alibaba.excel.metadata.property.LoopMergeProperty,java.lang.Integer]",loopMergeProperty,2
C:\Users\rochi\Downloads\sneel\easyexcel\easyexcel-core\src\main\java\com\alibaba\excel\write\merge\LoopMergeStrategy.java,com.alibaba.excel.write.merge.LoopMergeStrategy,"LoopMergeStrategy/2[com.alibaba.excel.metadata.property.LoopMergeProperty,java.lang.Integer]",columnIndex,1
