file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,MutableLong/1[java.lang.Number],value,3
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,set/1[java.lang.Number],value,3
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,increment/0,value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,intValue/0,value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,compareTo/1[cn.hutool.core.lang.mutable.MutableLong],value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,longValue/0,value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,MutableLong/1[java.lang.String],value,4
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,subtract/1[java.lang.Number],value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,add/1[java.lang.Number],value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,add/1[long],value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,subtract/1[long],value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,doubleValue/0,value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,floatValue/0,value,1
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,MutableLong/1[long],value,4
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,hashCode/0,value,2
C:\Users\rochi\Downloads\sneel\hutool\hutool-core\src\main\java\cn\hutool\core\lang\mutable\MutableLong.java,cn.hutool.core.lang.mutable.MutableLong,set/1[long],value,4
