file,class,method,variable,usage
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\controller\interceptor\PermissionInterceptor.java,com.xxl.job.admin.controller.interceptor.PermissionInterceptor,"preHandle/3[com.xxl.job.admin.controller.interceptor.HttpServletRequest,com.xxl.job.admin.controller.interceptor.HttpServletResponse,java.lang.Object]",loginService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\core\util\JacksonUtil.java,com.xxl.job.admin.core.util.JacksonUtil,getInstance/0,objectMapper,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\core\util\JacksonUtil.java,com.xxl.job.admin.core.util.JacksonUtil,writeValueAsString/1[java.lang.Object],logger,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\core\util\JacksonUtil.java,com.xxl.job.admin.core.util.JacksonUtil,"readValue/3[java.lang.String,java.lang.Class<?>,java.lang.Class<?>[]]",logger,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-xxljob\src\main\java\com\xxl\job\admin\core\util\JacksonUtil.java,com.xxl.job.admin.core.util.JacksonUtil,"readValue/2[java.lang.String,java.lang.Class<T>]",logger,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-demo\src\main\java\org\jeecg\modules\demo\test\service\impl\JeecgOrderCustomerServiceImpl.java,org.jeecg.modules.demo.test.service.impl.JeecgOrderCustomerServiceImpl,selectCustomersByMainId/1[java.lang.String],jeecgOrderCustomerMapper,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\vo\thirdapp\JwDepartmentTreeVo.java,org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo,setChildren/1[java.util.List<org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo>],children,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\vo\thirdapp\JwDepartmentTreeVo.java,org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo,toString/0,children,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\vo\thirdapp\JwDepartmentTreeVo.java,org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo,getChildren/0,children,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\vo\thirdapp\JwDepartmentTreeVo.java,org.jeecg.modules.system.vo.thirdapp.JwDepartmentTreeVo,hasChildren/0,children,2
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,queryById/1[java.lang.String],sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,add/1[org.jeecg.modules.system.entity.SysFillRule],sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,deleteBatch/1[java.lang.String],sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,"queryPageList/4[org.jeecg.modules.system.entity.SysFillRule,java.lang.Integer,java.lang.Integer,org.jeecg.modules.system.controller.HttpServletRequest]",sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,delete/1[java.lang.String],sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-module-system\jeecg-system-biz\src\main\java\org\jeecg\modules\system\controller\SysFillRuleController.java,org.jeecg.modules.system.controller.SysFillRuleController,edit/1[org.jeecg.modules.system.entity.SysFillRule],sysFillRuleService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setDataType/1[java.lang.String],dataType,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getUsername/0,username,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getPassword/0,password,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setNamespace/1[java.lang.String],namespace,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setServerAddr/1[java.lang.String],serverAddr,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getDataId/0,dataId,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setUsername/1[java.lang.String],username,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setPassword/1[java.lang.String],password,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getServerAddr/0,serverAddr,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getDataType/0,dataType,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setRouteDataId/1[java.lang.String],dataId,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getRouteGroup/0,routeGroup,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,getNamespace/0,namespace,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-cloud-gateway\src\main\java\org\jeecg\config\GatewayRoutersConfig.java,org.jeecg.config.GatewayRoutersConfig,setRouteGroup/1[java.lang.String],routeGroup,3
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-sentinel\src\main\java\com\alibaba\csp\sentinel\dashboard\rule\nacos\gateway\GateWayFlowRulesNacosProvider.java,com.alibaba.csp.sentinel.dashboard.rule.nacos.gateway.GateWayFlowRulesNacosProvider,getRules/1[java.lang.String],configService,1
C:\Users\rochi\Downloads\sneel\jeecg-boot\jeecg-server-cloud\jeecg-visual\jeecg-cloud-sentinel\src\main\java\com\alibaba\csp\sentinel\dashboard\rule\nacos\gateway\GateWayFlowRulesNacosProvider.java,com.alibaba.csp.sentinel.dashboard.rule.nacos.gateway.GateWayFlowRulesNacosProvider,getRules/1[java.lang.String],converter,1
